epoch,lr,train_loss,train_semantic,train_center,train_offset,valid_loss,pq,sq,rq,pq_thing,pq_stuff
1,0.001,2.0245280195684994,1.5033487011404598,0.2353346800102907,28.584465671988095,2.0587433680244116,0.1682884544964372,0.7233220669602446,0.18872451019592162,0.0,0.42072113624109303
2,0.0009755282581475768,1.586606502532959,1.1932705486522002,0.15727042625932133,23.606553156235638,1.6957064711529275,0.19973178269056743,0.7178216441006807,0.22239379829266323,0.0008536102125249485,0.4980490414076312
3,0.0009045084971874736,1.3675064360394198,0.9483805088435903,0.11803169390734504,30.109421943215764,1.4589247625807058,0.21952851730401274,0.7568611862024328,0.24204571943316364,0.0008173229166836836,0.5475953088850063
4,0.0007938926261462366,1.1836314348613515,0.7897075351546793,0.08912695786532233,30.47969524159151,1.7295952983524487,0.22181551580410516,0.757087704411015,0.2482451582871421,0.0005087864470996315,0.5537756098396135
5,0.0006545084971874737,0.9909721283351673,0.6328965067863465,0.06979221657795065,28.82834279677447,1.6496257600576982,0.2808940275095497,0.7554246359341882,0.3102745338034999,0.0006716048520386163,0.5611164501670608
6,0.0005,0.9329492793363683,0.5779419302940368,0.0662506128935253,28.875673602609073,1.5036028001619421,0.29039715519281784,0.8022385091026596,0.3104138894408702,0.0008800918712277123,0.5799142185144079
7,0.00034549150281252633,0.8440173583872178,0.48869370116907007,0.05195199163521037,30.33716775669771,1.4803049927172454,0.289367373330201,0.7961100745444109,0.3105204185362401,0.0009966327933741037,0.5777381138670279
8,0.0002061073738537635,0.8351461557780995,0.45341812442330753,0.046823188706355934,33.49048457987168,1.4817631244659424,0.2898670890959732,0.797028343881495,0.31033893986391947,0.0007806862068779057,0.5789534919850685
9,9.549150281252634e-05,0.7792096046840443,0.43047831268871534,0.04527403173201224,30.3457262431874,1.5560608506202698,0.28882310768590674,0.7963545583771885,0.3106025456413517,0.0011084156624638557,0.5765377997093497
10,2.4471741852423235e-05,0.7796181973289041,0.41941423381076137,0.04307620981160332,31.712776520672968,1.5924575795298037,0.28868085319970044,0.8033824269143853,0.3104068323514224,0.0009056511216790844,0.5764560552777218
