epoch,lr,train_loss,train_semantic,train_center,train_offset,valid_loss,pq,sq,rq,pq_thing,pq_stuff
1,0.001,0.5538518888194387,0.29107868540577775,0.13047712879573425,13.229608112428247,0.31299229310109067,0.6658967365930414,0.9988451048895621,0.6666666666666666,0.0,0.9988451048895621
2,0.0009938441702975688,0.2385772614217386,0.06864999022062232,0.03829758638834081,13.162969035637088,0.20739159217247596,0.6694363137930021,0.8597142710133096,0.6719928983577453,0.009269291556063689,0.9995198249114714
3,0.0009755282581475768,0.1812122057123882,0.029357488289838883,0.02189769123385592,12.995702766790622,0.1778228787275461,0.6663728087004787,0.999559213050718,0.6666666666666666,0.0,0.999559213050718
4,0.0009455032620941839,0.15991042786982002,0.017880502615760012,0.018473357888983518,12.355657023918338,0.1495060267356726,0.6671054705186156,0.8375792250416723,0.6679012345679012,0.001901194288361227,0.9997076086337426
5,0.0009045084971874737,0.13276898054088035,0.015709606353647824,0.017128914258465536,9.99304622091898,0.11545325701053326,0.6665148793062111,0.9997723189593166,0.6666666666666666,0.0,0.9997723189593166
6,0.0008535533905932737,0.09889667048686888,0.01444678373362233,0.013761308807425383,7.068858002453315,0.08094754356604356,0.6665539106995516,0.9998308660493274,0.6666666666666666,0.0,0.9998308660493274
7,0.0007938926261462366,0.06946205358679701,0.011965634946416065,0.00963507129742605,4.786134840802449,0.07328844643556155,0.6665824261059018,0.9998736391588527,0.6666666666666666,0.0,0.9998736391588527
8,0.0007269952498697733,0.05727476532139429,0.009152798072957411,0.008678719864749327,3.9443248423134407,0.056343867228581354,0.7139092955159482,0.9041580593175924,0.733044733044733,0.14191529407906445,0.9999062962343899
9,0.0006545084971874737,0.04244914541884166,0.006666434404054066,0.005327048524078436,3.0455662866918054,0.04162379497518906,0.8206251377624604,0.9278290879364599,0.8631984585741811,0.4620339261020258,0.9999207435926777
10,0.0005782172325201155,0.03745017178901812,0.005312044159849969,0.006138930394791248,2.599919813435252,0.03326829293599495,0.8004842593987221,0.9097507662209022,0.850187265917603,0.4015544125715114,0.9999491828123277
11,0.0005,0.03173084859622688,0.004390507554862557,0.003779275965218137,2.356106572034882,0.028241782234265253,0.826107252529861,0.9425393881012983,0.8593448940269749,0.47848822837577065,0.999916764606906
12,0.0004217827674798847,0.029005801532326674,0.0037644421363749155,0.00330448937886281,2.193687059821152,0.02418429418825186,0.8487980269727252,0.9398849810154818,0.8888888888888888,0.5465217242565389,0.9999361783308185
13,0.00034549150281252633,0.025088320072831176,0.0033466107632237965,0.0027409411359169498,1.9000768649868849,0.018310286534520295,0.8407953137480276,0.9634047217170608,0.8622754491017964,0.5224226948245759,0.9999816232097535
14,0.00027300475013022663,0.02511114140109318,0.003120025281408211,0.003195519763522032,1.879559691359357,0.024917327583982393,0.8368748072813309,0.9582117645861327,0.8612836438923396,0.5107018202978221,0.9999613007730854
15,0.00020610737385376348,0.024104502651749588,0.002915724243105548,0.002559097353141846,1.8629681354615746,0.017937290840424024,0.8624241132893666,0.9622636972419735,0.8874172185430463,0.5872916703094518,0.999990334779324
16,0.00014644660940672625,0.02242005120326833,0.0026706957167423355,0.0025946827207850975,1.715467304136695,0.01807876217823762,0.8266136117158261,0.9565715584600798,0.8505747126436782,0.47984472644032145,0.9999980543535785
17,9.549150281252631e-05,0.021047973033131624,0.002667659308715928,0.0021081290440633895,1.6272184936011709,0.015239681045596417,0.8636939986453438,0.9660732971884679,0.8860215053763442,0.5910955727206789,0.9999932116076762
18,5.4496737905816096e-05,0.02038867449978503,0.0025567852119665322,0.0017638711054332372,1.6068018634144854,0.01558931229206232,0.8634413473717398,0.961830633370698,0.8888888888888888,0.5903357159937488,0.9999941630607353
19,2.447174185242323e-05,0.02016066828424611,0.0025563037976986023,0.0017392432356889292,1.5865121632087522,0.014975797599897934,0.8575027155576933,0.9641471147866397,0.880503144654088,0.5725120379659228,0.9999980543535785
20,6.15582970243117e-06,0.020169627711903757,0.0025465962181730967,0.0018657115515230633,1.575732013655872,0.01468127679366332,0.8651590203145115,0.9644068185104517,0.8888888888888888,0.595486789175642,0.9999951358839461
