class_id,pq,sq,rq
0,0.0,,0.0
1,0.0,,0.0
2,0.0,,0.0
3,0.9456041594296644,0.9456041594296644,1.0
4,0.6185028180078493,0.8117849486353023,0.7619047619047619
5,0.0,,0.0
6,0.0,,0.0
